run,m,k,d,n,b,lowest_real,highest_fake,distinguishable,distinguishability_ratio,euclidean_length_betas,abs_deviation,squared_deviation,max_normed_deviation,epsilon_droot_m,epsilon_droot_rootd,epsilon_droot_halfd,epsilon_dlinear_m,epsilon_dlinear_rootd,epsilon_dlinear_halfd
28,50,10,60,100,0.1,0.06067519069575803,-0.020290130057854006,1,2.990379584692291,0.7294526157859662,0.6962526186957707,0.012334732229536832,0.039324809304241974,0.9594011493280121,0.9701172483522491,0.9670159344932074,4.990744241588503,9.718625026155781,8.019902293310235
29,50,100,150,10,0.1,-0.0016408773694368201,-2.0534321709209706,0,7.990901246574322e-4,4.656388674708593,40.83713629071314,21.52992781192161,2.0534321709209706,0.9815499229622953,0.9865855694374114,0.9792110792338826,9.182274143624271,19.783589222861846,6.4200595120359525
30,50,100,150,100,0.1,0.005036193716731425,-0.6199002420884743,0,0.008124200274167085,2.390969754585852,22.49315519486383,5.706042843964861,0.6199002420884743,0.9824596230675419,0.9873106485003782,0.9802622358062165,10.5511036354775,22.08840813307606,7.5410540056504525
31,50,1000,1050,10,0.1,0.004335062945883418,0.37245002216749384,0,0.011639314506293423,3.690195565745332,97.25941129636115,14.051169684285638,0.37245002216749384,0.9973268378264089,0.9973952246162741,0.9963589304750159,63.1786810375034,67.89504410810763,22.79281540413186
32,50,1000,1050,100,0.1,-0.01212405837008388,0.7917133695047303,0,0.015313696644618104,6.153159768072249,155.7283412662386,38.341235819397,0.7917133695047303,0.9973872715324417,0.9974438590709749,0.9962720013107376,67.32896051610332,71.46167816522426,20.797487747279874
33,1,1,2,10,0.5,0.5376784327541964,0.03590219201259822,1,14.97620068895857,0.5388757411874451,0.07358062476679458,0.0027086316861219682,0.037678432754196356,0.998888450392566,0.25811673684239106,0.998888450392566,1.9955562726553235,0.1332484996763283,1.9955562726553235
34,1,1,2,100,0.5,0.48567320048000406,-0.004929108575780609,1,98.53164989434005,0.4856982126545681,0.019255908095776545,2.2955329583798973e-4,0.014326799519995936,0.9999742509896724,0.10073976645246635,0.9999742509896724,1.9998970052847125,0.020297001089794927,1.9998970052847125
35,1,10,11,10,0.5,0.45571222947243684,0.13577278751338417,1,3.356432741925651,0.5115874973095504,0.6576678981084925,0.0560095379310125,0.13577278751338417,0.9895408003479318,0.8649980626050429,0.799812885497751,9.79858685085036,2.231306175281027,0.9424646028776205
36,1,10,11,100,0.5,0.5117600642089332,0.017527252878239967,1,29.197962040262556,0.5123210368754382,0.07352889394152354,7.127806161908768e-4,0.017527252878239967,0.9999004083159487,0.6744985895314299,0.6687229042278459,10.987955405131927,0.14460529287644008,0.13155303348676556
37,1,100,101,10,0.5,0.017310296604038735,0.25872911501686585,0,0.06690509725938777,1.1027656601854092,9.426917005594,1.4487818046801226,0.4826897033959613,0.985748128200746,0.9821151103023252,0.9739431473778993,23.696458422825668,16.320109132945575,7.018036235508393
38,1,100,101,100,0.5,0.4804788821410116,-0.11240461417271101,1,4.274547674731129,0.6361800659945401,3.489584276335708,0.17424619422780588,0.11240461417271101,0.9972246666137041,0.9777483401413827,0.9711491896822839,76.28086714785347,10.405362060040643,5.2505226830619005
39,1,1000,1001,10,0.5,0.1982293761787265,0.9194623975604558,0,0.21559269493203245,7.470548955831234,185.6133223653102,55.86087232529241,0.9194623975604558,0.9979093466934216,0.9973527629903093,0.9961490672326636,123.20136918982377,70.48196732421539,21.0421951047689
40,1,1000,1001,100,0.5,-0.6067244331757267,5.140097138394845,0,0.11803754225648647,33.005512363290165,788.9009453742436,1090.2205707964758,5.140097138394845,0.9981439796737568,0.9974227042699749,0.9960059335954491,155.89023975449462,75.60719740323772,18.223076403489834
41,5,1,6,10,0.5,0.36887333129312283,-0.013490559856394418,1,27.343070652348043,1.00120889603836,0.2876440719105374,0.02657276556049491,0.13112666870687717,0.8466919415130923,0.8759915913308114,0.8759915913308114,2.2105676412946487,2.711133320867341,2.711133320867341
42,5,1,6,100,0.5,0.49423505559342124,6.652909707354261e-4,1,742.885560354267,1.1269090074351038,0.031877722133465076,5.832152911950293e-4,0.02337321798001013,0.8716472868166402,0.8733679786457654,0.8733679786457654,2.631454992368848,2.6627772587796827,2.6627772587796827
43,5,10,15,10,0.5,0.14541121408507182,0.2066613606679665,0,0.703620713688697,0.8743573735630404,1.7624861353167938,0.3103104615004352,0.35458878591492815,0.9083182089117199,0.9329366427903273,0.8787797658149551,3.5453700097332064,5.295092190898947,2.159195607082173
44,5,10,15,100,0.5,0.4717245782704272,-0.017033260728074765,1,27.694320294934233,1.108161170234736,0.09990309923324339,0.0015854108326386973,0.028275421729572814,0.9446531384077373,0.9481806009660154,0.7321837366937691,6.385234263854926,6.752385759263117,0.13976306953749704
45,5,100,105,10,0.5,0.01979011801269652,-0.3572553334665207,0,0.0553948847191979,1.3548415861147036,13.032164060854575,2.648953014740085,0.48020988198730347,0.9847995733844562,0.9822524431598566,0.9756441276086909,21.023922002725172,16.018308675677773,7.884786922399628
46,5,100,105,100,0.5,0.4347085084191187,0.18197191136053906,1,2.3888769710059,1.1843752414756805,3.992847476832331,0.2669043187474113,0.18197191136053906,0.9904997487649103,0.9755988765978979,0.9652770914684902,38.53879394433854,7.846480721109809,2.568320590884778
47,5,1000,1005,10,0.5,0.1540915827337731,1.1672079990110118,0,0.1320172435969738,8.195897969671055,205.25009195092355,69.83773554101901,1.1797884799772893,0.9977358538606328,0.9973480382833132,0.9961430006507122,102.99660852689401,69.6847153646971,20.675796889762093
48,5,1000,1005,100,0.5,0.003260590959790798,0.8614751988056313,0,0.0037848924313913564,8.41723554948393,213.5159304815414,72.3490349308737,0.8614751988056313,0.9976662858620668,0.9973326057968906,0.9961478268302225,96.02601268060114,68.60943024631871,20.77671446025035
49,10,1,11,10,0.5,0.06179537208715525,0.04169182195085261,1,1.4821940897666028,1.458514677328049,2.4130920099201214,0.869068441731059,0.5696334286995749,0.7502153095868953,0.908947971032537,0.8878138686039054,0.466055709637414,3.848769968149796,2.9712134949425626
50,10,1,11,100,0.5,0.4852825064862755,-0.024439461347252497,1,19.856514003768392,1.5984885505738178,0.13077510663587888,0.002022184305044214,0.024439461347252497,0.8972945080961893,0.9016276992000827,0.9008000253220738,3.339471883882298,3.521213708650084,3.4858201178168247
51,10,10,20,10,0.5,0.09431218391771218,0.4876840003164741,0,0.19338789842707557,1.7321102602800265,5.832553119521531,2.462033588132744,0.7532034226391563,0.9082624586380402,0.9357093476957473,0.9082624586380402,2.9191557794779532,5.294797526378837,2.9191557794779532
52,10,10,20,100,0.5,0.474024134068572,-0.03491694192453026,1,13.575763166577742,1.5648436494890867,0.17565914094743784,0.003630055121619132,0.03491694192453026,0.9420337774647041,0.9445176097378345,0.9420337774647041,6.058421673287788,6.386033367795552,6.058421673287788
53,10,100,110,10,0.5,-0.10881042401004697,-8.255524220167024,0,0.013180316731945285,25.886823557090057,197.7474884161896,655.9678974607845,8.255524220167024,0.9839189468992052,0.9836770495576582,0.9732598199969815,18.48920718055515,17.99583323609018,5.579047569328676
54,10,100,110,100,0.5,0.38380402551896325,-0.19621057203580242,1,1.9560822922881587,1.5790448027717208,4.439349375430971,0.31886641652098086,0.19621057203580242,0.9872237426745301,0.9812205105717229,0.9666143169728004,26.736697231756374,13.668493057355318,2.6257130205368537
